hints_tntpractice[1]	image_tntpractice[1]	condition_tntpractice[1]	hints_tntpractice[2]	image_tntpractice[2]	condition_tntpractice[2]	hints_tnt[1]	image_tnt[1]	condition_tnt[1]	hints_tnt[2]	image_tnt[2]	condition_tnt[2]	hints_tnt[3]	image_tnt[3]	condition_tnt[3]	hints_tnt[4]	image_tnt[4]	condition_tnt[4]	hints_tnt[5]	image_tnt[5]	condition_tnt[5]	hints_tnt[6]	image_tnt[6]	condition_tnt[6]	hints_tnt[7]	image_tnt[7]	condition_tnt[7]	hints_tnt[8]	image_tnt[8]	condition_tnt[8]
PUMP	equals_box.jpg	fpb	LINT	pluses_box.jpg	ft	HUG	exes_box.jpg	nt	SURPRISE	pluses_box.jpg	t	DIET	exes_box.jpg	nt	WOOD	exes_box.jpg	nt	DIET	exes_box.jpg	nt	ADVICE	exes_box.jpg	nt	DECISION	pluses_box.jpg	t	WOOD	exes_box.jpg	nt
CARTOON	pluses_box.jpg	ft	LINT	pluses_box.jpg	ft	HUG	exes_box.jpg	nt	SURPRISE	pluses_box.jpg	t	DIET	exes_box.jpg	nt	WOOD	exes_box.jpg	nt	DIET	exes_box.jpg	nt	ADVICE	exes_box.jpg	nt	DECISION	pluses_box.jpg	t	WOOD	exes_box.jpg	nt
SCRATCH	exes_box.jpg	fnt	LINT	pluses_box.jpg	ft	HUG	exes_box.jpg	nt	SURPRISE	pluses_box.jpg	t	DIET	exes_box.jpg	nt	WOOD	exes_box.jpg	nt	DIET	exes_box.jpg	nt	ADVICE	exes_box.jpg	nt	DECISION	pluses_box.jpg	t	WOOD	exes_box.jpg	nt
BOND	equals_box.jpg	fpb	LINT	pluses_box.jpg	ft	HUG	exes_box.jpg	nt	SURPRISE	pluses_box.jpg	t	DIET	exes_box.jpg	nt	WOOD	exes_box.jpg	nt	DIET	exes_box.jpg	nt	ADVICE	exes_box.jpg	nt	DECISION	pluses_box.jpg	t	WOOD	exes_box.jpg	nt
CARTOON	pluses_box.jpg	ft	LINT	pluses_box.jpg	ft	HUG	exes_box.jpg	nt	SURPRISE	pluses_box.jpg	t	DIET	exes_box.jpg	nt	WOOD	exes_box.jpg	nt	DIET	exes_box.jpg	nt	ADVICE	exes_box.jpg	nt	DECISION	pluses_box.jpg	t	WOOD	exes_box.jpg	nt
CHALK	exes_box.jpg	fnt	LINT	pluses_box.jpg	ft	HUG	exes_box.jpg	nt	SURPRISE	pluses_box.jpg	t	DIET	exes_box.jpg	nt	WOOD	exes_box.jpg	nt	DIET	exes_box.jpg	nt	ADVICE	exes_box.jpg	nt	DECISION	pluses_box.jpg	t	WOOD	exes_box.jpg	nt
CHALK	exes_box.jpg	fnt	LINT	pluses_box.jpg	ft	HUG	exes_box.jpg	nt	SURPRISE	pluses_box.jpg	t	DIET	exes_box.jpg	nt	WOOD	exes_box.jpg	nt	DIET	exes_box.jpg	nt	ADVICE	exes_box.jpg	nt	DECISION	pluses_box.jpg	t	WOOD	exes_box.jpg	nt
PUMP	equals_box.jpg	fpb	LINT	pluses_box.jpg	ft	HUG	exes_box.jpg	nt	SURPRISE	pluses_box.jpg	t	DIET	exes_box.jpg	nt	WOOD	exes_box.jpg	nt	DIET	exes_box.jpg	nt	ADVICE	exes_box.jpg	nt	DECISION	pluses_box.jpg	t	WOOD	exes_box.jpg	nt
COLLEGE	equals_box.jpg	fpb	LINT	pluses_box.jpg	ft	HUG	exes_box.jpg	nt	SURPRISE	pluses_box.jpg	t	DIET	exes_box.jpg	nt	WOOD	exes_box.jpg	nt	DIET	exes_box.jpg	nt	ADVICE	exes_box.jpg	nt	DECISION	pluses_box.jpg	t	WOOD	exes_box.jpg	nt
WISDOM	pluses_box.jpg	ft	LINT	pluses_box.jpg	ft	HUG	exes_box.jpg	nt	SURPRISE	pluses_box.jpg	t	DIET	exes_box.jpg	nt	WOOD	exes_box.jpg	nt	DIET	exes_box.jpg	nt	ADVICE	exes_box.jpg	nt	DECISION	pluses_box.jpg	t	WOOD	exes_box.jpg	nt
LINT	pluses_box.jpg	ft	LINT	pluses_box.jpg	ft	HUG	exes_box.jpg	nt	SURPRISE	pluses_box.jpg	t	DIET	exes_box.jpg	nt	WOOD	exes_box.jpg	nt	DIET	exes_box.jpg	nt	ADVICE	exes_box.jpg	nt	DECISION	pluses_box.jpg	t	WOOD	exes_box.jpg	nt
CIGAR	exes_box.jpg	fnt	LINT	pluses_box.jpg	ft	HUG	exes_box.jpg	nt	SURPRISE	pluses_box.jpg	t	DIET	exes_box.jpg	nt	WOOD	exes_box.jpg	nt	DIET	exes_box.jpg	nt	ADVICE	exes_box.jpg	nt	DECISION	pluses_box.jpg	t	WOOD	exes_box.jpg	nt
