"EGO"	"SHALLOW"	"EGO - SHALLOW"	"fnt"
"CANDLE"	"WINE"	"CANDLE - WINE"	"nt"
"LAWN"	"BEEF"	"LAWN - BEEF"	"t"
"NEEDLE"	"DOCTOR"	"NEEDLE - DOCTOR"	"t"
"CRADLE"	"PARENT"	"CRADLE - PARENT"	"nt"
"LATCH"	"CAGE"	"LATCH - CAGE"	"nt"
"CRUMB"	"TOASTER"	"CRUMB - OOOOOOO"	"pb"
"BUSINESS"	"DESK"	"BUSINESS - DESK"	"b"
"AROMA"	"PLANT"	"AROMA - OOOOO"	"pb"
"BROOM"	"HOUSE"	"BROOM - HOUSE"	"nt"
"ADVICE"	"LESSON"	"ADVICE - LESSON"	"b"
"LINT"	"CURTAIN"	"LINT - CURTAIN"	"fnt"
"HUG"	"ROSE"	"HUG - ROSE"	"b"
"JOGGER"	"COLLIE"	"JOGGER - OOOOOO"	"pb"
"SERVANT"	"QUEEN"	"SERVANT - QUEEN"	"t"
"GLOW"	"GHOST"	"GLOW - GHOST"	"b"
"PLANE"	"CLOUD"	"PLANE - OOOOO"	"pb"
"SCREEN"	"SNACK"	"SCREEN - SNACK"	"t"
"ACCIDENT"	"SNOW"	"ACCIDENT - OOOO"	"pb"
"WAFFLE"	"MAPLE"	"WAFFLE - MAPLE"	"t"
"FOREST"	"TENT"	"FOREST - TENT"	"b"
"LENS"	"PHYSICS"	"LENS - PHYSICS"	"nt"
"WISDOM"	"MONK"	"WISDOM - MONK"	"fnt"
