hint_criterion	response_criterion	wordpairs_criterion	condition_criterion	Performance_Criterion	Key_Criterion	CriterionHintTime	CriterionKeyTime	CriterionRT
EGO	SHALLOW	"EGO - SHALLOW"	fnt	0	z	2856308.63	2858250.97	1942
SCRATCH	MOSQUITO	"SCRATCH - MOSQUITO"	ft	0	x	2859558.64	2862259.44	2700
WISDOM	MONK	"WISDOM - MONK"	fnt	0	z	2863575.31	2865289.44	1714
PLUM	CORE	"PLUM - CORE"	nt	0	z	2866591.96	2868018.23	1426
CENT	BEGGAR	"CENT - OOOOOO"	pb	0	z	2869325.29	2871331.30	2006
ABDOMEN	THIGH	"ABDOMEN - THIGH"	t	0	z	2872641.96	2874386.55	1744
PICNIC	HILL	"PICNIC - HILL"	nt	0	z	2875691.99	2877123.73	1431
BREATH	TICKLE	"BREATH - TICKLE"	t	0	z	2875691.99	2877123.73	1431
JOGGER	COLLIE	"JOGGER - OOOOOO"	pb	0	z	2882725.31	2884306.18	1580
MILK	SKIM	"MILK - OOOO"	pb	0	z	2882725.31	2884306.18	1580
FOSSIL	DINOSAUR	"FOSSIL - DINOSAUR"	t	0	z	2889891.97	2891481.77	1589
SCREEN	SNACK	"SCREEN - SNACK"	t	0	x	2892791.97	2895506.33	2714
LENS	PHYSICS	"LENS - PHYSICS"	nt	0	z	2896808.63	2898379.65	1571
LATCH	CAGE	"LATCH - CAGE"	nt	0	z	2899691.97	2901602.91	1910
HIVE	HEXAGON	"HIVE - HEXAGON"	nt	0	z	2902908.64	2904690.11	1781
VOLUME	TANK	"VOLUME - TANK"	nt	0	z	2902908.64	2904690.11	1781
NIGHTCLUB	LIPSTICK	"NIGHTCLUB - LIPSTICK"	nt	0	z	2910291.97	2911754.38	1462
SURFACE	FOAM	"SURFACE - FOAM"	t	0	z	2910291.97	2911754.38	1462
INSTANT	RATE	"INSTANT - RATE"	b	0	z	2910291.97	2911754.38	1462
CRADLE	PARENT	"CRADLE - PARENT"	nt	0	z	2921625.31	2924113.16	2487
STUMBLE	CLOWN	"STUMBLE - CLOWN"	b	0	z	2925425.31	2927448.81	2023
LUGGAGE	LEATHER	"LUGGAGE - OOOOOOO"	pb	0	z	2928758.64	2930920.22	2161
ACCIDENT	SNOW	"ACCIDENT - OOOO"	pb	0	z	2932225.29	2933656.30	1431
CRACK	LOBSTER	"CRACK - OOOOOOO"	pb	0	z	2934958.63	2937105.08	2146
METAL	STAPLE	"METAL - STAPLE"	nt	0	z	2934958.63	2937105.08	2146
LICE	SCALP	"LICE - SCALP"	nt	0	z	2942691.97	2945488.58	2796
DOUGH	SALT	"DOUGH - OOOO"	pb	0	z	2946791.97	2948809.41	2017
BUSINESS	DESK	"BUSINESS - DESK"	b	0	x	2950125.31	2953073.00	2947
REAR	TRAFFIC	"REAR - TRAFFIC"	b	0	x	2950125.31	2953073.00	2947
CARTOON	HERO	"CARTOON - HERO"	ft	0	z	2958658.64	2960369.94	1711
LAKE	SUMMER	"LAKE - SUMMER"	nt	0	z	2958658.64	2960369.94	1711
PUMP	OIL	"PUMP - OIL"	ft	0	z	2965958.64	2968088.20	2129
SLAB	GRANITE	"SLAB - GRANITE"	b	0	z	2969391.96	2971833.44	2441
UNIT	GRAVITY	"UNIT - GRAVITY"	b	0	z	2969391.96	2971833.44	2441
LIBERTY	EAGLE	"LIBERTY - OOOOO"	pb	0	z	2977425.31	2980151.97	2726
TREE	LIFE	"TREE - LIFE"	nt	0	z	2977425.31	2980151.97	2726
CHALK	BOOK	"CHALK - BOOK"	fb	0	z	2977425.31	2980151.97	2726
PIPE	WRENCH	"PIPE - WRENCH"	t	0	z	2977425.31	2980151.97	2726
NAPKIN	FORK	"NAPKIN - FORK"	nt	0	z	2994308.63	2996231.72	1923
SOIL	TOMATO	"SOIL - OOOOOO"	pb	0	z	2994308.63	2996231.72	1923
