"WOOD"	"equals_box.jpg"	"pb"
"SCREEN"	"exes_box.jpg"	"nt"
"BUSINESS"	"equals_box.jpg"	"pb"
"PLANE"	"pluses_box.jpg"	"t"
"SOIL"	"pluses_box.jpg"	"t"
"SERVANT"	"exes_box.jpg"	"nt"
"CRUMB"	"pluses_box.jpg"	"t"
"VAULT"	"equals_box.jpg"	"pb"
"PIPE"	"exes_box.jpg"	"nt"
"CRACK"	"pluses_box.jpg"	"t"
"LIBERTY"	"pluses_box.jpg"	"t"
"SOCIETY"	"equals_box.jpg"	"pb"
"WAFFLE"	"exes_box.jpg"	"nt"
"TAPE"	"exes_box.jpg"	"nt"
"COAST"	"exes_box.jpg"	"nt"
"ANTLER"	"equals_box.jpg"	"pb"
"MIXTURE"	"equals_box.jpg"	"pb"
"FOREST"	"equals_box.jpg"	"pb"
"LOAN"	"exes_box.jpg"	"nt"
"LUGGAGE"	"pluses_box.jpg"	"t"
"STEAM"	"exes_box.jpg"	"nt"
"GLOW"	"equals_box.jpg"	"pb"
"NAIL"	"pluses_box.jpg"	"t"
"BRAKE"	"exes_box.jpg"	"nt"
"CROW"	"exes_box.jpg"	"nt"
"MILK"	"pluses_box.jpg"	"t"
"SLAB"	"equals_box.jpg"	"pb"
"PENCIL"	"pluses_box.jpg"	"t"
"INSIGHT"	"exes_box.jpg"	"nt"
"NEEDLE"	"exes_box.jpg"	"nt"
"TYPE"	"pluses_box.jpg"	"t"
"CENT"	"pluses_box.jpg"	"t"
"RELAX"	"exes_box.jpg"	"nt"
"OFFICER"	"pluses_box.jpg"	"t"
"REAR"	"equals_box.jpg"	"pb"
"DOUGH"	"pluses_box.jpg"	"t"
"RUG"	"pluses_box.jpg"	"t"
"AROMA"	"pluses_box.jpg"	"t"
"DIET"	"equals_box.jpg"	"pb"
"MUSEUM"	"pluses_box.jpg"	"t"
"SKULL"	"pluses_box.jpg"	"t"
"HELM"	"equals_box.jpg"	"pb"
"ABDOMEN"	"exes_box.jpg"	"nt"
"ACCIDENT"	"pluses_box.jpg"	"t"
"INSTANT"	"equals_box.jpg"	"pb"
"UNIT"	"equals_box.jpg"	"pb"
"BREATH"	"exes_box.jpg"	"nt"
"STUMBLE"	"equals_box.jpg"	"pb"
"KNUCKLE"	"pluses_box.jpg"	"t"
"DECAY"	"equals_box.jpg"	"pb"
"ADVICE"	"equals_box.jpg"	"pb"
"HUG"	"equals_box.jpg"	"pb"
"SURFACE"	"exes_box.jpg"	"nt"
"LEAP"	"equals_box.jpg"	"pb"
"JOGGER"	"pluses_box.jpg"	"t"
"PET"	"exes_box.jpg"	"nt"
"LAWN"	"exes_box.jpg"	"nt"
"BOOTH"	"exes_box.jpg"	"nt"
"FOSSIL"	"exes_box.jpg"	"nt"
"JOURNEY"	"equals_box.jpg"	"pb"
