"BOND"	"WEDDING"	"BOND - WEDDING"	"fnt"
"BRAKE"	"ANCHOR"	"BRAKE - ANCHOR"	"nt"
"LIBERTY"	"EAGLE"	"LIBERTY - EAGLE"	"t"
"JOGGER"	"COLLIE"	"JOGGER - COLLIE"	"t"
"RELAX"	"BED"	"RELAX - BED"	"nt"
"LEAP"	"BALLET"	"LEAP - OOOOOO"	"pb"
"PLUM"	"CORE"	"PLUM - CORE"	"b"
"CROW"	"ASCENT"	"CROW - ASCENT"	"nt"
"SOIL"	"TOMATO"	"SOIL - TOMATO"	"t"
"BOOTH"	"DIAL"	"BOOTH - DIAL"	"nt"
"SLAB"	"GRANITE"	"SLAB - OOOOOOO"	"pb"
"LINT"	"CURTAIN"	"LINT - CURTAIN"	"fb"
"VOLUME"	"TANK"	"VOLUME - TANK"	"b"
"KNUCKLE"	"RING"	"KNUCKLE - RING"	"t"
"LAWN"	"BEEF"	"LAWN - BEEF"	"nt"
"MIXTURE"	"JAR"	"MIXTURE - OOO"	"pb"
"METAL"	"STAPLE"	"METAL - STAPLE"	"b"
"ACE"	"SYMBOL"	"ACE - SYMBOL"	"b"
"LATCH"	"CAGE"	"LATCH - CAGE"	"b"
"MILK"	"SKIM"	"MILK - SKIM"	"t"
"REAR"	"TRAFFIC"	"REAR - OOOOOOO"	"pb"
"JOURNEY"	"PANTS"	"JOURNEY - OOOOO"	"pb"
"TOLL"	"BRIDGE"	"TOLL - OOOOOO"	"fpb"
