hint_criterion	response_criterion	wordpairs_criterion	condition_criterion	Performance_Criterion	Key_Criterion	CriterionHintTime	CriterionKeyTime	CriterionRT
COLLEGE	CERTIFICATE	"COLLEGE - CERTIFICATE"	ft	0	z	5489929.82	5491813.96	1884
PLUM	CORE	"PLUM - CORE"	b	0	z	5489929.82	5491813.96	1884
NAIL	PICTURE	"NAIL - PICTURE"	t	0	z	5489929.82	5491813.96	1884
SURPRISE	SNAKE	"SURPRISE - SNAKE"	b	0	z	5501696.49	5503476.39	1779
ACE	SYMBOL	"ACE - SYMBOL"	b	0	z	5504779.82	5507373.40	2593
DIET	CREAM	"DIET - OOOOO"	pb	0	z	5508679.81	5511236.01	2556
RUG	WOOL	"RUG - WOOL"	t	0	z	5512546.49	5514852.68	2306
LINT	CURTAIN	"LINT - CURTAIN"	ft	0	z	5516163.15	5517805.21	1642
PIPE	WRENCH	"PIPE - WRENCH"	nt	0	z	5519113.15	5521098.77	1985
SCRATCH	MOSQUITO	"SCRATCH - OOOOOOOO"	fpb	0	z	5522413.14	5525285.02	2871
SOCIETY	YOUTH	"SOCIETY - OOOOO"	pb	0	z	5522413.14	5525285.02	2871
BUSINESS	DESK	"BUSINESS - OOOO"	pb	0	z	5522413.14	5525285.02	2871
BOND	WEDDING	"BOND - WEDDING"	fnt	0	z	5522413.14	5525285.02	2871
RELAX	BED	"RELAX - BED"	nt	0	z	5539446.47	5541890.91	2444
ADVICE	LESSON	"ADVICE - OOOOOO"	pb	0	z	5539446.47	5541890.91	2444
WOOD	TERMITE	"WOOD - OOOOOOO"	pb	0	z	5539446.47	5541890.91	2444
JOURNEY	PANTS	"JOURNEY - OOOOO"	pb	0	z	5551763.14	5554266.87	2503
UNIT	GRAVITY	"UNIT - OOOOOOO"	pb	0	z	5551763.14	5554266.87	2503
DECISION	JUDGE	"DECISION - JUDGE"	b	0	z	5559863.14	5562483.81	2620
HIVE	HEXAGON	"HIVE - HEXAGON"	b	0	z	5563796.47	5566641.92	2845
HELM	OPERA	"HELM - OOOOO"	pb	0	z	5567946.47	5569675.75	1729
SKULL	MUMMY	"SKULL - MUMMY"	t	0	z	5570979.88	5572785.92	1806
NAPKIN	FORK	"NAPKIN - FORK"	b	0	z	5574096.55	5576489.87	2393
CRUMB	TOASTER	"CRUMB - TOASTER"	t	0	z	5577796.49	5579962.34	2165
METAL	STAPLE	"METAL - STAPLE"	b	0	z	5577796.49	5579962.34	2165
VAULT	BRASS	"VAULT - OOOOO"	pb	0	z	5577796.49	5579962.34	2165
TYPE	PAPER	"TYPE - PAPER"	t	0	z	5589846.47	5592610.45	2763
LEAP	BALLET	"LEAP - OOOOOO"	pb	0	z	5593913.14	5596713.61	2800
MILK	SKIM	"MILK - SKIM"	t	0	z	5598029.81	5600178.71	2148
ABDOMEN	THIGH	"ABDOMEN - THIGH"	nt	0	z	5601496.49	5603944.59	2448
