"AROMA"	"pluses_box.jpg"	"t"
"LAWN"	"exes_box.jpg"	"nt"
"REAR"	"equals_box.jpg"	"pb"
"INSIGHT"	"exes_box.jpg"	"nt"
"SKULL"	"pluses_box.jpg"	"t"
"SLAB"	"equals_box.jpg"	"pb"
"DIET"	"equals_box.jpg"	"pb"
"ADVICE"	"equals_box.jpg"	"pb"
"SCREEN"	"exes_box.jpg"	"nt"
"WOOD"	"equals_box.jpg"	"pb"
"RELAX"	"exes_box.jpg"	"nt"
"PENCIL"	"pluses_box.jpg"	"t"
"JOURNEY"	"equals_box.jpg"	"pb"
"JOGGER"	"pluses_box.jpg"	"t"
"DOUGH"	"pluses_box.jpg"	"t"
"PIPE"	"exes_box.jpg"	"nt"
"MIXTURE"	"equals_box.jpg"	"pb"
"BRAKE"	"exes_box.jpg"	"nt"
"COAST"	"exes_box.jpg"	"nt"
"STUMBLE"	"equals_box.jpg"	"pb"
"HELM"	"equals_box.jpg"	"pb"
"RUG"	"pluses_box.jpg"	"t"
"UNIT"	"equals_box.jpg"	"pb"
"CRUMB"	"pluses_box.jpg"	"t"
"ABDOMEN"	"exes_box.jpg"	"nt"
"ANTLER"	"equals_box.jpg"	"pb"
"OFFICER"	"pluses_box.jpg"	"t"
"FOREST"	"equals_box.jpg"	"pb"
"VAULT"	"equals_box.jpg"	"pb"
"DECAY"	"equals_box.jpg"	"pb"
"SERVANT"	"exes_box.jpg"	"nt"
"TYPE"	"pluses_box.jpg"	"t"
"BUSINESS"	"equals_box.jpg"	"pb"
"HUG"	"equals_box.jpg"	"pb"
"SOIL"	"pluses_box.jpg"	"t"
"PLANE"	"pluses_box.jpg"	"t"
"CROW"	"exes_box.jpg"	"nt"
"CRACK"	"pluses_box.jpg"	"t"
"INSTANT"	"equals_box.jpg"	"pb"
"NEEDLE"	"exes_box.jpg"	"nt"
"PET"	"exes_box.jpg"	"nt"
"CENT"	"pluses_box.jpg"	"t"
"TAPE"	"exes_box.jpg"	"nt"
"LUGGAGE"	"pluses_box.jpg"	"t"
"MILK"	"pluses_box.jpg"	"t"
"SOCIETY"	"equals_box.jpg"	"pb"
"NAIL"	"pluses_box.jpg"	"t"
"LEAP"	"equals_box.jpg"	"pb"
"LOAN"	"exes_box.jpg"	"nt"
"BOOTH"	"exes_box.jpg"	"nt"
"GLOW"	"equals_box.jpg"	"pb"
"STEAM"	"exes_box.jpg"	"nt"
"WAFFLE"	"exes_box.jpg"	"nt"
"LIBERTY"	"pluses_box.jpg"	"t"
"KNUCKLE"	"pluses_box.jpg"	"t"
"MUSEUM"	"pluses_box.jpg"	"t"
"BREATH"	"exes_box.jpg"	"nt"
"FOSSIL"	"exes_box.jpg"	"nt"
"ACCIDENT"	"pluses_box.jpg"	"t"
"SURFACE"	"exes_box.jpg"	"nt"
