hint_criterion	response_criterion	wordpairs_criterion	condition_criterion	Performance_Criterion	Key_Criterion	CriterionHintTime	CriterionKeyTime	CriterionRT
VOLUME	TANK	"VOLUME - TANK"	b	0	z	3187079.80	3188953.94	1874
LINT	CURTAIN	"LINT - CURTAIN"	fnt	0	z	3190263.12	3191985.51	1722
SOIL	TOMATO	"SOIL - TOMATO"	t	0	z	3193296.46	3195079.99	1783
TOLL	BRIDGE	"TOLL - BRIDGE"	fb	0	z	3196396.45	3197864.69	1468
BREATH	TICKLE	"BREATH - TICKLE"	nt	0	z	3199179.80	3200758.98	1579
NAIL	PICTURE	"NAIL - PICTURE"	t	0	z	3202063.14	3203512.75	1449
BOOTH	DIAL	"BOOTH - DIAL"	nt	0	z	3204829.79	3206624.92	1795
HELM	OPERA	"HELM - OOOOO"	pb	0	z	3207929.79	3209334.60	1404
LAKE	SUMMER	"LAKE - SUMMER"	b	0	z	3210646.47	3212903.05	2256
FOREST	TENT	"FOREST - OOOO"	pb	0	z	3214213.12	3216608.18	2395
STEAM	TRAIN	"STEAM - TRAIN"	nt	0	z	3214213.12	3216608.18	2395
TYPE	PAPER	"TYPE - PAPER"	t	0	z	3222196.45	3224168.24	1971
LENS	PHYSICS	"LENS - PHYSICS"	b	0	z	3222196.45	3224168.24	1971
NIGHTCLUB	LIPSTICK	"NIGHTCLUB - LIPSTICK"	b	0	z	3229763.12	3231408.67	1645
METAL	STAPLE	"METAL - STAPLE"	b	0	z	3229763.12	3231408.67	1645
BRAKE	ANCHOR	"BRAKE - ANCHOR"	nt	0	z	3236996.47	3238670.17	1673
DECISION	JUDGE	"DECISION - JUDGE"	b	0	z	3239979.79	3242038.60	2058
HIVE	HEXAGON	"HIVE - HEXAGON"	b	0	z	3243346.45	3245983.21	2636
ANTLER	KNIFE	"ANTLER - OOOOO"	pb	0	z	3243346.45	3245983.21	2636
WISDOM	MONK	"WISDOM - OOOO"	fpb	0	z	3251579.80	3253982.09	2402
PET	MOUSE	"PET - MOUSE"	nt	0	z	3251579.80	3253982.09	2402
ADVICE	LESSON	"ADVICE - OOOOOO"	pb	0	z	3251579.80	3253982.09	2402
SOCIETY	YOUTH	"SOCIETY - OOOOO"	pb	0	z	3263863.13	3266238.58	2375
ACE	SYMBOL	"ACE - SYMBOL"	b	0	z	3267546.47	3269206.04	1659
MUSEUM	CLAY	"MUSEUM - CLAY"	t	0	z	3267546.47	3269206.04	1659
JOGGER	COLLIE	"JOGGER - COLLIE"	t	0	z	3267546.47	3269206.04	1659
