hints_tntpractice[1]	image_tntpractice[1]	condition_tntpractice[1]	hints_tntpractice[2]	image_tntpractice[2]	condition_tntpractice[2]	hints_tnt[1]	image_tnt[1]	condition_tnt[1]	hints_tnt[2]	image_tnt[2]	condition_tnt[2]	hints_tnt[3]	image_tnt[3]	condition_tnt[3]	hints_tnt[4]	image_tnt[4]	condition_tnt[4]	hints_tnt[5]	image_tnt[5]	condition_tnt[5]	hints_tnt[6]	image_tnt[6]	condition_tnt[6]	hints_tnt[7]	image_tnt[7]	condition_tnt[7]	hints_tnt[8]	image_tnt[8]	condition_tnt[8]
COLLEGE	exes_box.jpg	fnt	COLLEGE	exes_box.jpg	fnt	STEAM	exes_box.jpg	nt	REAR	equals_box.jpg	pb	LEAP	equals_box.jpg	pb	DOUGH	pluses_box.jpg	t	ADVICE	equals_box.jpg	pb	ANTLER	equals_box.jpg	pb	LOAN	exes_box.jpg	nt	SOCIETY	equals_box.jpg	pb
SCRATCH	equals_box.jpg	fpb	COLLEGE	exes_box.jpg	fnt	STEAM	exes_box.jpg	nt	REAR	equals_box.jpg	pb	LEAP	equals_box.jpg	pb	DOUGH	pluses_box.jpg	t	ADVICE	equals_box.jpg	pb	ANTLER	equals_box.jpg	pb	LOAN	exes_box.jpg	nt	SOCIETY	equals_box.jpg	pb
LINT	exes_box.jpg	fnt	COLLEGE	exes_box.jpg	fnt	STEAM	exes_box.jpg	nt	REAR	equals_box.jpg	pb	LEAP	equals_box.jpg	pb	DOUGH	pluses_box.jpg	t	ADVICE	equals_box.jpg	pb	ANTLER	equals_box.jpg	pb	LOAN	exes_box.jpg	nt	SOCIETY	equals_box.jpg	pb
WISDOM	equals_box.jpg	fpb	COLLEGE	exes_box.jpg	fnt	STEAM	exes_box.jpg	nt	REAR	equals_box.jpg	pb	LEAP	equals_box.jpg	pb	DOUGH	pluses_box.jpg	t	ADVICE	equals_box.jpg	pb	ANTLER	equals_box.jpg	pb	LOAN	exes_box.jpg	nt	SOCIETY	equals_box.jpg	pb
COLLEGE	exes_box.jpg	fnt	COLLEGE	exes_box.jpg	fnt	STEAM	exes_box.jpg	nt	REAR	equals_box.jpg	pb	LEAP	equals_box.jpg	pb	DOUGH	pluses_box.jpg	t	ADVICE	equals_box.jpg	pb	ANTLER	equals_box.jpg	pb	LOAN	exes_box.jpg	nt	SOCIETY	equals_box.jpg	pb
PUMP	pluses_box.jpg	ft	COLLEGE	exes_box.jpg	fnt	STEAM	exes_box.jpg	nt	REAR	equals_box.jpg	pb	LEAP	equals_box.jpg	pb	DOUGH	pluses_box.jpg	t	ADVICE	equals_box.jpg	pb	ANTLER	equals_box.jpg	pb	LOAN	exes_box.jpg	nt	SOCIETY	equals_box.jpg	pb
PUMP	pluses_box.jpg	ft	COLLEGE	exes_box.jpg	fnt	STEAM	exes_box.jpg	nt	REAR	equals_box.jpg	pb	LEAP	equals_box.jpg	pb	DOUGH	pluses_box.jpg	t	ADVICE	equals_box.jpg	pb	ANTLER	equals_box.jpg	pb	LOAN	exes_box.jpg	nt	SOCIETY	equals_box.jpg	pb
CHALK	pluses_box.jpg	ft	COLLEGE	exes_box.jpg	fnt	STEAM	exes_box.jpg	nt	REAR	equals_box.jpg	pb	LEAP	equals_box.jpg	pb	DOUGH	pluses_box.jpg	t	ADVICE	equals_box.jpg	pb	ANTLER	equals_box.jpg	pb	LOAN	exes_box.jpg	nt	SOCIETY	equals_box.jpg	pb
CHALK	pluses_box.jpg	ft	COLLEGE	exes_box.jpg	fnt	STEAM	exes_box.jpg	nt	REAR	equals_box.jpg	pb	LEAP	equals_box.jpg	pb	DOUGH	pluses_box.jpg	t	ADVICE	equals_box.jpg	pb	ANTLER	equals_box.jpg	pb	LOAN	exes_box.jpg	nt	SOCIETY	equals_box.jpg	pb
CIGAR	pluses_box.jpg	ft	COLLEGE	exes_box.jpg	fnt	STEAM	exes_box.jpg	nt	REAR	equals_box.jpg	pb	LEAP	equals_box.jpg	pb	DOUGH	pluses_box.jpg	t	ADVICE	equals_box.jpg	pb	ANTLER	equals_box.jpg	pb	LOAN	exes_box.jpg	nt	SOCIETY	equals_box.jpg	pb
