hint_criterion	response_criterion	wordpairs_criterion	condition_criterion	Performance_Criterion	Key_Criterion	CriterionHintTime	CriterionKeyTime	CriterionRT
INSTANT	RATE	"INSTANT - OOOO"	pb	0	m	0	0	0
WISDOM	MONK	"WISDOM - MONK"	fb	0	m	0	0	0
STUMBLE	CLOWN	"STUMBLE - OOOOO"	pb	0	m	0	0	0
ABDOMEN	THIGH	"ABDOMEN - THIGH"	nt	0	m	0	0	0
PUMP	OIL	"PUMP - OIL"	fb	0	m	0	0	0
JOGGER	COLLIE	"JOGGER - COLLIE"	t	0	m	0	0	0
SURPRISE	SNAKE	"SURPRISE - SNAKE"	b	0	m	0	0	0
VOLUME	TANK	"VOLUME - TANK"	b	0	m	0	0	0
MILK	SKIM	"MILK - SKIM"	t	0	m	0	0	0
BRAKE	ANCHOR	"BRAKE - ANCHOR"	nt	0	m	0	0	0
EGO	SHALLOW	"EGO - OOOOOOO"	fpb	0	m	0	0	0
PLANE	CLOUD	"PLANE - CLOUD"	t	0	m	0	0	0
RUG	WOOL	"RUG - WOOL"	t	0	m	0	0	0
ADVICE	LESSON	"ADVICE - OOOOOO"	pb	0	m	0	0	0
REAR	TRAFFIC	"REAR - OOOOOOO"	pb	0	m	0	0	0
RELAX	BED	"RELAX - BED"	nt	0	m	0	0	0
BOND	WEDDING	"BOND - WEDDING"	fnt	0	m	0	0	0
DOUGH	SALT	"DOUGH - SALT"	t	0	m	0	0	0
MUSEUM	CLAY	"MUSEUM - CLAY"	t	0	m	0	0	0
SURFACE	FOAM	"SURFACE - FOAM"	nt	0	m	0	0	0
BREATH	TICKLE	"BREATH - TICKLE"	nt	0	m	0	0	0
JAW	GUM	"JAW - GUM"	fnt	0	m	0	0	0
BUSINESS	DESK	"BUSINESS - OOOO"	pb	0	m	0	0	0
PLUM	CORE	"PLUM - CORE"	b	0	m	0	0	0
LINT	CURTAIN	"LINT - CURTAIN"	ft	0	m	0	0	0
JOURNEY	PANTS	"JOURNEY - OOOOO"	pb	0	m	0	0	0
LUGGAGE	LEATHER	"LUGGAGE - LEATHER"	t	0	m	0	0	0
LEAP	BALLET	"LEAP - OOOOOO"	pb	0	m	0	0	0
LICE	SCALP	"LICE - SCALP"	b	0	m	0	0	0
BROOM	HOUSE	"BROOM - HOUSE"	b	0	m	0	0	0
AROMA	PLANT	"AROMA - PLANT"	t	0	m	0	0	0
CENT	BEGGAR	"CENT - BEGGAR"	t	0	m	0	0	0
PICNIC	HILL	"PICNIC - HILL"	b	0	m	0	0	0
DECAY	CARBON	"DECAY - OOOOOO"	pb	0	m	0	0	0
PIPE	WRENCH	"PIPE - WRENCH"	nt	0	m	0	0	0
BAT	DIRT	"BAT - DIRT"	b	0	m	0	0	0
CROW	ASCENT	"CROW - ASCENT"	nt	0	m	0	0	0
TYPE	PAPER	"TYPE - PAPER"	t	0	m	0	0	0
SERVANT	QUEEN	"SERVANT - QUEEN"	nt	0	m	0	0	0
NIGHTCLUB	LIPSTICK	"NIGHTCLUB - LIPSTICK"	b	0	m	0	0	0
SKULL	MUMMY	"SKULL - MUMMY"	t	0	m	0	0	0
HELM	OPERA	"HELM - OOOOO"	pb	0	m	0	0	0
COAST	THUNDER	"COAST - THUNDER"	nt	0	m	0	0	0
MIXTURE	JAR	"MIXTURE - OOO"	pb	0	m	0	0	0
TOLL	BRIDGE	"TOLL - BRIDGE"	fnt	0	m	0	0	0
PENCIL	STICKER	"PENCIL - STICKER"	t	0	m	0	0	0
CANDLE	WINE	"CANDLE - WINE"	b	0	m	0	0	0
INSIGHT	ART	"INSIGHT - ART"	nt	0	m	0	0	0
FOREST	TENT	"FOREST - OOOO"	pb	0	m	0	0	0
LAWN	BEEF	"LAWN - BEEF"	nt	0	m	0	0	0
CRUMB	TOASTER	"CRUMB - TOASTER"	t	0	m	0	0	0
SOCIETY	YOUTH	"SOCIETY - OOOOO"	pb	0	m	0	0	0
CARTOON	HERO	"CARTOON - OOOO"	fpb	0	m	0	0	0
LAKE	SUMMER	"LAKE - SUMMER"	b	0	m	0	0	0
BOOTH	DIAL	"BOOTH - DIAL"	nt	0	m	0	0	0
LENS	PHYSICS	"LENS - PHYSICS"	b	0	m	0	0	0
DECISION	JUDGE	"DECISION - JUDGE"	b	0	m	0	0	0
LOAN	POVERTY	"LOAN - POVERTY"	nt	0	m	0	0	0
COLLEGE	CERTIFICATE	"COLLEGE - OOOOOOOOOOO"	fpb	0	m	0	0	0
TREE	LIFE	"TREE - LIFE"	b	0	m	0	0	0
FOSSIL	DINOSAUR	"FOSSIL - DINOSAUR"	nt	0	m	0	0	0
NAPKIN	FORK	"NAPKIN - FORK"	b	0	m	0	0	0
HIVE	HEXAGON	"HIVE - HEXAGON"	b	0	m	0	0	0
CHALK	BOOK	"CHALK - BOOK"	fb	0	m	0	0	0
LIBERTY	EAGLE	"LIBERTY - EAGLE"	t	0	m	0	0	0
CRACK	LOBSTER	"CRACK - LOBSTER"	t	0	m	0	0	0
NAIL	PICTURE	"NAIL - PICTURE"	t	0	m	0	0	0
CIGAR	VICE	"CIGAR - VICE"	ft	0	m	0	0	0
WOOD	TERMITE	"WOOD - OOOOOOO"	pb	0	m	0	0	0
ACCIDENT	SNOW	"ACCIDENT - SNOW"	t	0	m	0	0	0
UNIT	GRAVITY	"UNIT - OOOOOOO"	pb	0	m	0	0	0
LATCH	CAGE	"LATCH - CAGE"	b	0	m	0	0	0
HUG	ROSE	"HUG - OOOO"	pb	0	m	0	0	0
ACE	SYMBOL	"ACE - SYMBOL"	b	0	m	0	0	0
ANTLER	KNIFE	"ANTLER - OOOOO"	pb	0	m	0	0	0
GLOW	GHOST	"GLOW - OOOOO"	pb	0	m	0	0	0
WAFFLE	MAPLE	"WAFFLE - MAPLE"	nt	0	m	0	0	0
SCREEN	SNACK	"SCREEN - SNACK"	nt	0	m	0	0	0
STEAM	TRAIN	"STEAM - TRAIN"	nt	0	m	0	0	0
METAL	STAPLE	"METAL - STAPLE"	b	0	m	0	0	0
NEEDLE	DOCTOR	"NEEDLE - DOCTOR"	nt	0	m	0	0	0
VAULT	BRASS	"VAULT - OOOOO"	pb	0	m	0	0	0
OFFICER	BLUE	"OFFICER - BLUE"	t	0	m	0	0	0
DIET	CREAM	"DIET - OOOOO"	pb	0	m	0	0	0
KNUCKLE	RING	"KNUCKLE - RING"	t	0	m	0	0	0
PET	MOUSE	"PET - MOUSE"	nt	0	m	0	0	0
SCRATCH	MOSQUITO	"SCRATCH - MOSQUITO"	ft	0	m	0	0	0
CRADLE	PARENT	"CRADLE - PARENT"	b	0	m	0	0	0
TAPE	RADIO	"TAPE - RADIO"	nt	0	m	0	0	0
VITAMIN	LEMON	"VITAMIN - LEMON"	b	0	m	0	0	0
SLAB	GRANITE	"SLAB - OOOOOOO"	pb	0	m	0	0	0
SOIL	TOMATO	"SOIL - TOMATO"	t	0	m	0	0	0
