"CARTOON"	"HERO"	"CARTOON - HERO"	"fb"
"PLUM"	"CORE"	"PLUM - CORE"	"b"
"KNUCKLE"	"RING"	"KNUCKLE - RING"	"t"
"CRUMB"	"TOASTER"	"CRUMB - TOASTER"	"t"
"SLAB"	"GRANITE"	"SLAB - OOOOOOO"	"pb"
"LATCH"	"CAGE"	"LATCH - CAGE"	"b"
"HUG"	"ROSE"	"HUG - OOOO"	"pb"
"BRAKE"	"ANCHOR"	"BRAKE - ANCHOR"	"nt"
"BREATH"	"TICKLE"	"BREATH - TICKLE"	"nt"
"LIBERTY"	"EAGLE"	"LIBERTY - EAGLE"	"t"
"LAKE"	"SUMMER"	"LAKE - SUMMER"	"b"
"TOLL"	"BRIDGE"	"TOLL - OOOOOO"	"fpb"
"BROOM"	"HOUSE"	"BROOM - HOUSE"	"b"
"STEAM"	"TRAIN"	"STEAM - TRAIN"	"nt"
"STUMBLE"	"CLOWN"	"STUMBLE - OOOOO"	"pb"
"SOIL"	"TOMATO"	"SOIL - TOMATO"	"t"
"DECAY"	"CARBON"	"DECAY - OOOOOO"	"pb"
"RELAX"	"BED"	"RELAX - BED"	"nt"
"LOAN"	"POVERTY"	"LOAN - POVERTY"	"nt"
"RUG"	"WOOL"	"RUG - WOOL"	"t"
"BUSINESS"	"DESK"	"BUSINESS - OOOO"	"pb"
"NIGHTCLUB"	"LIPSTICK"	"NIGHTCLUB - LIPSTICK"	"b"
"EGO"	"SHALLOW"	"EGO - SHALLOW"	"fnt"
