2963862.193	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
2966887.862	StudyPhase[1].TestFeedback_1[1].Feedback_1[1]	LOADING RESOURCE SURFACE FROM DISK
2968679.049	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
2971021.568	StudyPhase[1].TestFeedback_1[1].FeedbackPB_1[1]	LOADING RESOURCE SURFACE FROM DISK
2972812.452	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
2974987.973	StudyPhase[1].TestFeedback_1[1].Feedback_1[1]	LOADING RESOURCE SURFACE FROM DISK
2976779.235	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
2978771.53	StudyPhase[1].TestFeedback_1[1].FeedbackPB_1[1]	LOADING RESOURCE SURFACE FROM DISK
2980585.015	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
2980586.74	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	flip time is later than desired time. Desired Time=2980575 Flip Time=2980608 Retrace Rate=16.641, prepareTime=35 flip request time 2980586
2983395.437	StudyPhase[1].TestFeedback_1[1].FeedbackPB_1[1]	LOADING RESOURCE SURFACE FROM DISK
2985179.123	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
2987088.379	StudyPhase[1].TestFeedback_1[1].Feedback_1[1]	LOADING RESOURCE SURFACE FROM DISK
2988879.117	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
2991354.953	StudyPhase[1].TestFeedback_1[1].FeedbackPB_1[1]	LOADING RESOURCE SURFACE FROM DISK
2993146.005	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
2996038.092	StudyPhase[1].TestFeedback_1[1].Feedback_1[1]	LOADING RESOURCE SURFACE FROM DISK
2997829.09	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
3000154.957	StudyPhase[1].TestFeedback_1[1].Feedback_1[1]	LOADING RESOURCE SURFACE FROM DISK
3001946.088	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
3004191.628	StudyPhase[1].TestFeedback_1[1].Feedback_1[1]	LOADING RESOURCE SURFACE FROM DISK
3005979.238	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
3008413.537	StudyPhase[1].TestFeedback_1[1].Feedback_1[1]	LOADING RESOURCE SURFACE FROM DISK
3010196.46	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
3012471.583	StudyPhase[1].TestFeedback_1[1].Feedback_1[1]	LOADING RESOURCE SURFACE FROM DISK
3014262.25	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
3016588.251	StudyPhase[1].TestFeedback_1[1].FeedbackPB_1[1]	LOADING RESOURCE SURFACE FROM DISK
3018379.326	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
3021055.27	StudyPhase[1].TestFeedback_1[1].Feedback_1[1]	LOADING RESOURCE SURFACE FROM DISK
3022846.316	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
3025871.841	StudyPhase[1].TestFeedback_1[1].FeedbackPB_1[1]	LOADING RESOURCE SURFACE FROM DISK
3027662.844	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
3029354.866	StudyPhase[1].TestFeedback_1[1].Feedback_1[1]	LOADING RESOURCE SURFACE FROM DISK
3030390.07	StudyPhase[1].Reached_Criterion_1[1]	LOADING RESOURCE SURFACE FROM DISK
3030711.018	StudyPhase[1].Reached_Criterion_1[1]	LOADING RESOURCE SURFACE FROM DISK
3030723.154	StudyPhase[1].Reached_Criterion_1[1]	LOADING RESOURCE SURFACE FROM DISK
3030735.32	StudyPhase[1].Reached_Criterion_1[1]	LOADING RESOURCE SURFACE FROM DISK
3076814.027	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3076815.943	StudyPhase[2].LearningPhase_2.Word_2	flip time is later than desired time. Desired Time=3076792 Flip Time=3076825 Retrace Rate=16.641, prepareTime=47 flip request time 3076815
3080639.959	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3080641.818	StudyPhase[2].LearningPhase_2.Word_2	flip time is later than desired time. Desired Time=3080608 Flip Time=3080658 Retrace Rate=16.641, prepareTime=56 flip request time 3080641
3084429.602	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3088213.034	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3092279.307	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3092281.167	StudyPhase[2].LearningPhase_2.Word_2	flip time is later than desired time. Desired Time=3092008 Flip Time=3092292 Retrace Rate=16.641, prepareTime=296 flip request time 3092280
3096062.877	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3099846.61	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3103671.012	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3103672.848	StudyPhase[2].LearningPhase_2.Word_2	flip time is later than desired time. Desired Time=3103642 Flip Time=3103692 Retrace Rate=16.641, prepareTime=54 flip request time 3103672
3107495.872	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3107497.851	StudyPhase[2].LearningPhase_2.Word_2	flip time is later than desired time. Desired Time=3107475 Flip Time=3107508 Retrace Rate=16.641, prepareTime=46 flip request time 3107497
3111322.79	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3111324.619	StudyPhase[2].LearningPhase_2.Word_2	flip time is later than desired time. Desired Time=3111292 Flip Time=3111342 Retrace Rate=16.641, prepareTime=56 flip request time 3111324
3115113.209	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3118896.601	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3122679.686	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3126463.375	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3130246.75	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3134029.884	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3137813.359	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3141596.605	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3145380.13	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3149163.336	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3152946.686	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3156772.513	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3156774.312	StudyPhase[2].LearningPhase_2.Word_2	flip time is later than desired time. Desired Time=3156742 Flip Time=3156792 Retrace Rate=16.641, prepareTime=56 flip request time 3156774
3160599.749	StudyPhase[2].LearningPhase_2.Word_2	LOADING RESOURCE SURFACE FROM DISK
3160601.663	StudyPhase[2].LearningPhase_2.Word_2	flip time is later than desired time. Desired Time=3160575 Flip Time=3160625 Retrace Rate=16.641, prepareTime=50 flip request time 3160601
3173758.091	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3173760.031	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	flip time is later than desired time. Desired Time=3173492 Flip Time=3173775 Retrace Rate=16.641, prepareTime=292 flip request time 3173759
3175516.069	StudyPhase[2].TestFeedback_2[1].Feedback_2[1]	LOADING RESOURCE SURFACE FROM DISK
3177355.173	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3177356.991	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	flip time is later than desired time. Desired Time=3177325 Flip Time=3177375 Retrace Rate=16.641, prepareTime=55 flip request time 3177356
3179772.347	StudyPhase[2].TestFeedback_2[1].FeedbackPB_2[1]	LOADING RESOURCE SURFACE FROM DISK
3181563.137	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3184588.719	StudyPhase[2].TestFeedback_2[1].FeedbackPB_2[1]	LOADING RESOURCE SURFACE FROM DISK
3186379.733	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3188705.509	StudyPhase[2].TestFeedback_2[1].Feedback_2[1]	LOADING RESOURCE SURFACE FROM DISK
3190513.498	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3190515.427	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	flip time is later than desired time. Desired Time=3190508 Flip Time=3190525 Retrace Rate=16.641, prepareTime=30 flip request time 3190515
3193575.081	StudyPhase[2].TestFeedback_2[1].FeedbackPB_2[1]	LOADING RESOURCE SURFACE FROM DISK
3195363.307	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3198389.104	StudyPhase[2].TestFeedback_2[1].Feedback_2[1]	LOADING RESOURCE SURFACE FROM DISK
3200180.223	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3203205.593	StudyPhase[2].TestFeedback_2[1].Feedback_2[1]	LOADING RESOURCE SURFACE FROM DISK
3204996.847	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3207444.308	StudyPhase[2].TestFeedback_2[1].Feedback_2[1]	LOADING RESOURCE SURFACE FROM DISK
3209229.929	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3211588.987	StudyPhase[2].TestFeedback_2[1].Feedback_2[1]	LOADING RESOURCE SURFACE FROM DISK
3213380.121	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3215972.657	StudyPhase[2].TestFeedback_2[1].Feedback_2[1]	LOADING RESOURCE SURFACE FROM DISK
3217763.723	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3220143.14	StudyPhase[2].TestFeedback_2[1].Feedback_2[1]	LOADING RESOURCE SURFACE FROM DISK
3221969.146	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3221971.101	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	flip time is later than desired time. Desired Time=3221942 Flip Time=3221992 Retrace Rate=16.641, prepareTime=52 flip request time 3221970
3223905.87	StudyPhase[2].TestFeedback_2[1].Feedback_2[1]	LOADING RESOURCE SURFACE FROM DISK
3225696.777	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3228763.731	StudyPhase[2].TestFeedback_2[1].Feedback_2[1]	LOADING RESOURCE SURFACE FROM DISK
3230547.203	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3233189.271	StudyPhase[2].TestFeedback_2[1].Feedback_2[1]	LOADING RESOURCE SURFACE FROM DISK
3234980.274	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3237739.237	StudyPhase[2].TestFeedback_2[1].FeedbackPB_2[1]	LOADING RESOURCE SURFACE FROM DISK
3239530.238	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3241806.156	StudyPhase[2].TestFeedback_2[1].FeedbackPB_2[1]	LOADING RESOURCE SURFACE FROM DISK
3243596.912	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3246906.603	StudyPhase[2].TestFeedback_2[1].Feedback_2[1]	LOADING RESOURCE SURFACE FROM DISK
3248697.071	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3251761.577	StudyPhase[2].TestFeedback_2[1].Feedback_2[1]	LOADING RESOURCE SURFACE FROM DISK
3253546.988	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3255356.143	StudyPhase[2].TestFeedback_2[1].Feedback_2[1]	LOADING RESOURCE SURFACE FROM DISK
3257146.836	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3259989.555	StudyPhase[2].TestFeedback_2[1].Feedback_2[1]	LOADING RESOURCE SURFACE FROM DISK
3261780.412	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3264022.892	StudyPhase[2].TestFeedback_2[1].Feedback_2[1]	LOADING RESOURCE SURFACE FROM DISK
3265813.93	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3268839.328	StudyPhase[2].TestFeedback_2[1].Feedback_2[1]	LOADING RESOURCE SURFACE FROM DISK
3270630.532	StudyPhase[2].TestFeedback_2[1].Hint_2[1]	LOADING RESOURCE SURFACE FROM DISK
3272172.837	StudyPhase[2].TestFeedback_2[1].Feedback_2[1]	LOADING RESOURCE SURFACE FROM DISK
3273210.791	StudyPhase[2].Failed_Criterion_2[1]	LOADING RESOURCE SURFACE FROM DISK
3273223.969	StudyPhase[2].Failed_Criterion_2[1]	LOADING RESOURCE SURFACE FROM DISK
3273237.262	StudyPhase[2].Failed_Criterion_2[1]	LOADING RESOURCE SURFACE FROM DISK
3403515.013	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3403517.234	StudyPhase[3].LearningPhase_3.Word_3	flip time is later than desired time. Desired Time=3403458 Flip Time=3403525 Retrace Rate=16.641, prepareTime=82 flip request time 3403516
3407331.961	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3407333.976	StudyPhase[3].LearningPhase_3.Word_3	flip time is later than desired time. Desired Time=3407308 Flip Time=3407342 Retrace Rate=16.641, prepareTime=49 flip request time 3407333
3411114.555	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3414934.491	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3414936.492	StudyPhase[3].LearningPhase_3.Word_3	flip time is later than desired time. Desired Time=3414908 Flip Time=3414958 Retrace Rate=16.641, prepareTime=51 flip request time 3414936
3418781.878	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3418783.944	StudyPhase[3].LearningPhase_3.Word_3	flip time is later than desired time. Desired Time=3418742 Flip Time=3418792 Retrace Rate=16.641, prepareTime=65 flip request time 3418783
3422602.435	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3422604.547	StudyPhase[3].LearningPhase_3.Word_3	flip time is later than desired time. Desired Time=3422575 Flip Time=3422625 Retrace Rate=16.641, prepareTime=53 flip request time 3422604
3426434.851	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3426436.878	StudyPhase[3].LearningPhase_3.Word_3	flip time is later than desired time. Desired Time=3426408 Flip Time=3426458 Retrace Rate=16.641, prepareTime=52 flip request time 3426436
3430230.894	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3434052.276	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3434054.289	StudyPhase[3].LearningPhase_3.Word_3	flip time is later than desired time. Desired Time=3434025 Flip Time=3434075 Retrace Rate=16.641, prepareTime=52 flip request time 3434054
3437847.72	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3441630.873	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3445414.163	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3449197.697	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3453266.943	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3453269.018	StudyPhase[3].LearningPhase_3.Word_3	flip time is later than desired time. Desired Time=3452992 Flip Time=3453292 Retrace Rate=16.641, prepareTime=300 flip request time 3453268
3457103.589	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3457105.766	StudyPhase[3].LearningPhase_3.Word_3	flip time is later than desired time. Desired Time=3457075 Flip Time=3457125 Retrace Rate=16.641, prepareTime=54 flip request time 3457105
3460938.259	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3460940.357	StudyPhase[3].LearningPhase_3.Word_3	flip time is later than desired time. Desired Time=3460908 Flip Time=3460958 Retrace Rate=16.641, prepareTime=55 flip request time 3460940
3464771.244	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
