hint_criterion	response_criterion	wordpairs_criterion	condition_criterion	Performance_Criterion	Key_Criterion	CriterionHintTime	CriterionKeyTime	CriterionRT
JAW	GUM	"JAW - GUM"	fb	0	m	0	0	0
LIBERTY	EAGLE	"LIBERTY - EAGLE"	nt	0	z	3942308.83	3944141.46	1832
ADVICE	LESSON	"ADVICE - LESSON"	t	0	z	3945458.83	3947325.96	1867
PIPE	WRENCH	"PIPE - WRENCH"	b	0	x	3948642.17	3950892.74	2250
BROOM	HOUSE	"BROOM - OOOOO"	pb	0	z	3952208.83	3955134.05	2925
CANDLE	WINE	"CANDLE - OOOO"	pb	0	z	3956442.17	3959004.60	2562
COLLEGE	CERTIFICATE	"COLLEGE - OOOOOOOOOOO"	fpb	0	z	3960308.82	3962156.44	1847
WAFFLE	MAPLE	"WAFFLE - MAPLE"	b	0	z	3960308.82	3962156.44	1847
DOUGH	SALT	"DOUGH - SALT"	nt	0	z	3967742.15	3970467.73	2725
KNUCKLE	RING	"KNUCKLE - RING"	nt	0	z	3967742.15	3970467.73	2725
BUSINESS	DESK	"BUSINESS - DESK"	t	0	z	3967742.15	3970467.73	2725
NIGHTCLUB	LIPSTICK	"NIGHTCLUB - OOOOOOOO"	pb	0	z	3980342.17	3982404.74	2062
PUMP	OIL	"PUMP - OIL"	fb	0	z	3983708.83	3985435.49	1726
DECISION	JUDGE	"DECISION - OOOOO"	pb	0	z	3983708.83	3985435.49	1726
FOSSIL	DINOSAUR	"FOSSIL - DINOSAUR"	b	0	z	3991025.51	3993629.02	2603
LICE	SCALP	"LICE - OOOOO"	pb	0	z	3994942.16	3997652.23	2710
PICNIC	HILL	"PICNIC - OOOO"	pb	0	z	3998958.83	4000364.64	1405
STUMBLE	CLOWN	"STUMBLE - CLOWN"	t	0	z	3998958.83	4000364.64	1405
LAWN	BEEF	"LAWN - BEEF"	b	0	z	3998958.83	4000364.64	1405
RUG	WOOL	"RUG - WOOL"	nt	0	z	3998958.83	4000364.64	1405
AROMA	PLANT	"AROMA - PLANT"	nt	0	z	3998958.83	4000364.64	1405
PET	MOUSE	"PET - MOUSE"	b	0	z	4018808.82	4019652.26	843
WISDOM	MONK	"WISDOM - OOOO"	fpb	0	z	4018808.82	4019652.26	843
VITAMIN	LEMON	"VITAMIN - OOOOO"	pb	0	z	4025242.18	4027249.91	2007
CIGAR	VICE	"CIGAR - VICE"	ft	0	z	4028558.82	4030754.87	2196
LOAN	POVERTY	"LOAN - POVERTY"	b	0	z	4032058.83	4034354.54	2295
METAL	STAPLE	"METAL - OOOOOO"	pb	0	z	4032058.83	4034354.54	2295
MILK	SKIM	"MILK - SKIM"	nt	0	z	4039942.15	4041819.01	1876
BOND	WEDDING	"BOND - WEDDING"	fb	0	z	4039942.15	4041819.01	1876
REAR	TRAFFIC	"REAR - TRAFFIC"	t	0	z	4047408.82	4049187.01	1778
WOOD	TERMITE	"WOOD - TERMITE"	t	0	z	4050492.15	4052706.47	2214
SLAB	GRANITE	"SLAB - GRANITE"	t	0	z	4054008.82	4055698.30	1689
ABDOMEN	THIGH	"ABDOMEN - THIGH"	b	0	z	4057008.83	4058642.47	1633
