hints_tntpractice[1]	image_tntpractice[1]	condition_tntpractice[1]	hints_tntpractice[2]	image_tntpractice[2]	condition_tntpractice[2]	hints_tnt[1]	image_tnt[1]	condition_tnt[1]	hints_tnt[2]	image_tnt[2]	condition_tnt[2]	hints_tnt[3]	image_tnt[3]	condition_tnt[3]	hints_tnt[4]	image_tnt[4]	condition_tnt[4]	hints_tnt[5]	image_tnt[5]	condition_tnt[5]	hints_tnt[6]	image_tnt[6]	condition_tnt[6]	hints_tnt[7]	image_tnt[7]	condition_tnt[7]	hints_tnt[8]	image_tnt[8]	condition_tnt[8]
EGO	pluses_box.jpg	ft	SCRATCH	exes_box.jpg	fnt	CANDLE	equals_box.jpg	pb	LICE	equals_box.jpg	pb	METAL	equals_box.jpg	pb	LICE	equals_box.jpg	pb	MILK	exes_box.jpg	nt	TREE	equals_box.jpg	pb	NAPKIN	equals_box.jpg	pb	ADVICE	pluses_box.jpg	t
WISDOM	equals_box.jpg	fpb	SCRATCH	exes_box.jpg	fnt	CANDLE	equals_box.jpg	pb	LICE	equals_box.jpg	pb	METAL	equals_box.jpg	pb	LICE	equals_box.jpg	pb	MILK	exes_box.jpg	nt	TREE	equals_box.jpg	pb	NAPKIN	equals_box.jpg	pb	ADVICE	pluses_box.jpg	t
CARTOON	exes_box.jpg	fnt	SCRATCH	exes_box.jpg	fnt	CANDLE	equals_box.jpg	pb	LICE	equals_box.jpg	pb	METAL	equals_box.jpg	pb	LICE	equals_box.jpg	pb	MILK	exes_box.jpg	nt	TREE	equals_box.jpg	pb	NAPKIN	equals_box.jpg	pb	ADVICE	pluses_box.jpg	t
COLLEGE	equals_box.jpg	fpb	SCRATCH	exes_box.jpg	fnt	CANDLE	equals_box.jpg	pb	LICE	equals_box.jpg	pb	METAL	equals_box.jpg	pb	LICE	equals_box.jpg	pb	MILK	exes_box.jpg	nt	TREE	equals_box.jpg	pb	NAPKIN	equals_box.jpg	pb	ADVICE	pluses_box.jpg	t
CIGAR	pluses_box.jpg	ft	SCRATCH	exes_box.jpg	fnt	CANDLE	equals_box.jpg	pb	LICE	equals_box.jpg	pb	METAL	equals_box.jpg	pb	LICE	equals_box.jpg	pb	MILK	exes_box.jpg	nt	TREE	equals_box.jpg	pb	NAPKIN	equals_box.jpg	pb	ADVICE	pluses_box.jpg	t
LINT	equals_box.jpg	fpb	SCRATCH	exes_box.jpg	fnt	CANDLE	equals_box.jpg	pb	LICE	equals_box.jpg	pb	METAL	equals_box.jpg	pb	LICE	equals_box.jpg	pb	MILK	exes_box.jpg	nt	TREE	equals_box.jpg	pb	NAPKIN	equals_box.jpg	pb	ADVICE	pluses_box.jpg	t
CIGAR	pluses_box.jpg	ft	SCRATCH	exes_box.jpg	fnt	CANDLE	equals_box.jpg	pb	LICE	equals_box.jpg	pb	METAL	equals_box.jpg	pb	LICE	equals_box.jpg	pb	MILK	exes_box.jpg	nt	TREE	equals_box.jpg	pb	NAPKIN	equals_box.jpg	pb	ADVICE	pluses_box.jpg	t
LINT	equals_box.jpg	fpb	SCRATCH	exes_box.jpg	fnt	CANDLE	equals_box.jpg	pb	LICE	equals_box.jpg	pb	METAL	equals_box.jpg	pb	LICE	equals_box.jpg	pb	MILK	exes_box.jpg	nt	TREE	equals_box.jpg	pb	NAPKIN	equals_box.jpg	pb	ADVICE	pluses_box.jpg	t
CHALK	exes_box.jpg	fnt	SCRATCH	exes_box.jpg	fnt	CANDLE	equals_box.jpg	pb	LICE	equals_box.jpg	pb	METAL	equals_box.jpg	pb	LICE	equals_box.jpg	pb	MILK	exes_box.jpg	nt	TREE	equals_box.jpg	pb	NAPKIN	equals_box.jpg	pb	ADVICE	pluses_box.jpg	t
TOLL	pluses_box.jpg	ft	SCRATCH	exes_box.jpg	fnt	CANDLE	equals_box.jpg	pb	LICE	equals_box.jpg	pb	METAL	equals_box.jpg	pb	LICE	equals_box.jpg	pb	MILK	exes_box.jpg	nt	TREE	equals_box.jpg	pb	NAPKIN	equals_box.jpg	pb	ADVICE	pluses_box.jpg	t
